GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit,Admitted,Year,Stream,Cluster
302,112,3,1.0,1.5,9.29,0,0.74,1,2023,ME,High Profile
295,106,4,4.5,1.0,9.61,1,0.89,1,2024,ME,Mid Profile
312,92,4,3.5,4.0,9.51,1,0.82,1,2023,DS,Mid Profile
324,94,5,5.0,5.0,9.84,1,0.89,1,2020,CE,Mid Profile
323,99,3,3.0,5.0,6.91,1,0.53,0,2023,ME,Mid Profile
314,99,4,3.5,2.0,9.73,1,0.84,1,2020,ME,Mid Profile
333,116,4,2.5,4.5,8.28,0,0.73,1,2018,CE,Low Profile
318,116,2,5.0,3.0,7.69,1,0.71,1,2023,CE,Mid Profile
294,116,2,4.5,1.0,8.24,1,0.68,1,2023,EE,Mid Profile
329,110,4,5.0,1.0,7.37,0,0.61,0,2020,ME,High Profile
319,108,1,3.0,3.0,7.15,0,0.68,1,2021,ME,Low Profile
322,110,2,4.5,2.5,6.97,1,0.6,0,2020,CS,Mid Profile
318,103,4,2.5,1.0,6.33,0,0.45,0,2018,DS,High Profile
318,111,5,3.0,5.0,7.99,1,0.71,1,2024,ME,Mid Profile
294,115,3,4.0,4.0,9.55,1,0.86,1,2018,EE,Mid Profile
318,114,2,1.0,3.0,8.52,1,0.75,1,2021,CE,Mid Profile
330,109,3,4.0,5.0,8.08,0,0.66,1,2018,CE,Low Profile
305,93,4,1.0,5.0,7.71,0,0.53,0,2022,DS,Low Profile
320,113,3,3.5,5.0,7.86,1,0.65,1,2024,CS,Mid Profile
291,102,1,3.0,2.0,6.84,1,0.56,0,2022,ME,Mid Profile
307,113,3,3.0,4.5,9.29,0,0.77,1,2022,CS,Low Profile
312,107,3,3.0,3.0,6.79,0,0.5,0,2023,ME,Low Profile
340,117,4,3.0,4.0,8.87,0,0.75,1,2024,ME,Low Profile
300,101,5,2.5,4.5,9.04,1,0.8,1,2024,ME,Mid Profile
304,119,5,3.0,1.5,8.3,1,0.8,1,2019,DS,Mid Profile
310,116,4,3.5,3.0,9.45,0,0.79,1,2021,ME,High Profile
340,101,2,4.0,1.5,7.16,0,0.59,0,2023,ME,High Profile
333,105,3,3.0,2.0,9.53,0,0.77,1,2020,CS,High Profile
291,107,1,3.5,2.5,8.92,1,0.8,1,2022,EE,Mid Profile
301,114,5,4.5,4.5,9.19,0,0.79,1,2018,DS,Low Profile
331,111,5,5.0,4.5,8.66,0,0.78,1,2024,ME,Low Profile
292,116,5,1.0,2.5,9.39,0,0.83,1,2022,DS,High Profile
333,102,2,4.0,2.0,9.97,1,0.92,1,2023,ME,Mid Profile
304,106,2,2.0,3.0,7.68,0,0.6,0,2023,ME,Low Profile
336,104,5,1.5,5.0,9.26,0,0.8,1,2019,ME,Low Profile
304,118,3,4.5,5.0,8.98,1,0.86,1,2021,ME,Mid Profile
312,100,4,1.0,2.0,7.81,0,0.59,0,2024,CS,High Profile
323,109,3,4.5,1.5,9.71,0,0.78,1,2019,CS,High Profile
296,95,3,4.0,4.0,7.58,1,0.65,1,2023,ME,Mid Profile
318,116,4,5.0,2.0,8.26,1,0.77,1,2020,ME,Mid Profile
315,103,5,4.0,1.5,6.42,0,0.46,0,2022,ME,High Profile
329,101,2,4.5,1.0,6.9,0,0.53,0,2021,ME,High Profile
340,108,5,1.5,2.5,9.36,0,0.8,1,2022,EE,High Profile
323,106,2,5.0,2.5,7.59,1,0.54,0,2023,CE,Mid Profile
310,116,3,1.5,3.5,7.58,1,0.66,1,2020,CE,Mid Profile
310,107,5,2.0,1.5,6.98,1,0.61,0,2019,CS,Mid Profile
311,106,5,1.5,4.0,7.97,1,0.7,1,2020,ME,Mid Profile
331,95,5,2.5,4.0,9.22,0,0.84,1,2022,CE,Low Profile
306,92,2,4.0,3.0,9.58,1,0.76,1,2023,CE,Mid Profile
298,103,5,2.0,1.5,6.28,1,0.49,0,2023,EE,Mid Profile
307,120,5,4.5,3.0,8.3,0,0.56,0,2020,DS,High Profile
291,118,5,3.5,4.0,7.87,1,0.68,1,2024,CE,Mid Profile
295,110,1,3.5,2.5,8.46,1,0.71,1,2018,ME,Mid Profile
294,110,4,5.0,2.0,7.79,1,0.65,1,2018,CE,Mid Profile
329,103,5,2.5,3.0,7.59,1,0.74,1,2018,DS,Mid Profile
326,97,4,2.5,2.5,7.89,0,0.68,1,2024,EE,High Profile
325,92,2,5.0,2.5,8.33,0,0.67,1,2019,CS,High Profile
313,101,4,3.5,2.5,8.0,0,0.63,0,2022,ME,High Profile
326,101,1,3.5,2.0,7.89,1,0.73,1,2023,CS,Mid Profile
298,97,3,2.0,4.0,9.27,1,0.8,1,2023,DS,Mid Profile
335,99,4,1.5,3.0,8.98,0,0.7,1,2024,DS,High Profile
315,92,3,1.5,3.0,7.37,0,0.48,0,2018,CE,High Profile
337,109,4,2.0,3.5,9.2,0,0.76,1,2020,DS,Low Profile
297,118,2,1.5,2.5,9.41,1,0.88,1,2021,CS,Mid Profile
315,112,4,4.0,1.0,6.61,0,0.65,1,2022,CE,High Profile
325,104,4,1.0,4.5,8.33,0,0.69,1,2022,ME,Low Profile
315,104,4,3.5,1.0,7.14,0,0.53,0,2021,EE,High Profile
312,100,2,5.0,3.5,8.96,1,0.71,1,2020,EE,Mid Profile
298,96,2,4.0,2.0,6.96,0,0.55,0,2018,ME,High Profile
309,109,2,2.5,1.5,8.69,0,0.61,0,2021,CE,High Profile
302,108,3,1.0,1.0,7.02,0,0.58,0,2019,CS,High Profile
305,92,3,4.5,5.0,8.04,0,0.67,1,2021,CE,Low Profile
324,104,2,1.0,2.5,9.79,0,0.84,1,2023,DS,High Profile
322,100,3,4.0,2.5,7.53,1,0.64,0,2021,CS,Mid Profile
320,96,2,4.0,4.0,9.5,1,0.86,1,2022,DS,Mid Profile
308,112,2,1.5,1.0,9.95,1,0.89,1,2018,CE,Mid Profile
338,107,4,4.0,3.5,9.5,1,0.82,1,2022,EE,Mid Profile
294,110,5,1.5,3.0,6.66,1,0.68,1,2021,CE,Mid Profile
307,112,2,2.0,3.0,9.28,0,0.75,1,2018,CE,Low Profile
296,120,5,4.5,1.5,6.13,1,0.58,0,2019,CE,Mid Profile
307,115,3,5.0,5.0,7.57,0,0.48,0,2023,CS,Low Profile
339,109,1,2.0,2.0,9.48,0,0.86,1,2024,CS,High Profile
308,117,2,5.0,4.0,8.76,1,0.86,1,2021,CE,Mid Profile
336,105,1,5.0,4.0,8.13,0,0.66,1,2024,EE,Low Profile
315,120,1,4.0,2.5,7.55,0,0.64,0,2019,EE,Low Profile
325,114,2,1.5,1.5,9.25,0,0.8,1,2020,ME,High Profile
313,110,3,2.0,2.0,8.84,0,0.7,1,2024,CE,High Profile
303,118,4,4.0,4.5,7.87,1,0.73,1,2019,CS,Mid Profile
328,106,1,5.0,5.0,9.57,1,0.8,1,2022,DS,Mid Profile
339,112,5,4.5,5.0,6.92,0,0.54,0,2019,ME,Low Profile
303,100,2,2.5,2.0,6.68,0,0.56,0,2020,CS,High Profile
329,119,1,2.0,3.5,8.57,1,0.82,1,2021,CS,Mid Profile
303,110,4,5.0,1.5,9.89,1,0.85,1,2020,DS,Mid Profile
326,114,4,2.0,4.0,6.99,0,0.53,0,2024,CS,Low Profile
330,105,4,2.5,2.5,7.0,1,0.58,0,2024,ME,Mid Profile
312,117,1,5.0,4.0,6.56,0,0.55,0,2021,CE,Low Profile
327,94,1,3.5,4.0,9.44,0,0.71,1,2021,ME,Low Profile
303,95,2,2.0,5.0,6.91,0,0.54,0,2018,EE,Low Profile
294,106,3,1.0,3.0,8.01,1,0.73,1,2019,CS,Mid Profile
294,113,5,2.5,2.5,9.96,0,0.84,1,2018,CE,High Profile
312,115,2,5.0,3.0,6.05,0,0.52,0,2023,ME,Low Profile
336,104,1,2.5,1.5,8.23,0,0.65,1,2019,CS,High Profile
296,110,5,4.0,1.5,8.05,0,0.65,1,2020,CS,High Profile
313,108,1,2.0,3.0,9.23,1,0.76,1,2023,ME,Mid Profile
325,119,1,4.0,4.5,7.42,0,0.66,1,2022,CS,Low Profile
300,110,3,4.0,3.0,7.64,0,0.57,0,2022,EE,Low Profile
326,104,3,3.5,4.5,6.67,1,0.6,0,2018,CS,Mid Profile
305,120,4,4.0,1.5,8.96,1,0.81,1,2021,CE,Mid Profile
331,95,5,3.5,3.0,9.14,0,0.7,1,2021,CE,High Profile
319,120,5,2.5,3.5,6.55,1,0.56,0,2020,CE,Mid Profile
317,96,2,4.0,2.5,7.57,1,0.72,1,2023,CS,Mid Profile
299,100,5,4.5,1.0,9.57,1,0.86,1,2024,EE,Mid Profile
313,115,4,4.5,1.0,6.01,1,0.47,0,2019,EE,Mid Profile
333,113,1,1.5,5.0,7.2,1,0.65,1,2020,CE,Mid Profile
290,120,5,4.0,3.5,8.22,0,0.68,1,2020,DS,Low Profile
328,113,1,1.0,2.0,7.34,0,0.77,1,2023,EE,High Profile
315,110,3,3.5,2.0,7.09,0,0.58,0,2018,CE,High Profile
326,102,4,3.5,1.0,7.84,0,0.62,0,2024,ME,High Profile
323,92,2,2.5,5.0,6.73,1,0.64,0,2023,DS,Mid Profile
312,95,2,5.0,1.0,8.12,0,0.54,0,2021,CS,High Profile
305,100,3,4.5,4.0,8.83,0,0.72,1,2022,DS,Low Profile
321,93,5,1.0,2.0,8.3,1,0.84,1,2024,ME,Mid Profile
297,106,2,1.5,2.5,6.37,1,0.53,0,2023,EE,Mid Profile
319,114,4,1.5,2.0,9.38,1,0.75,1,2019,CS,Mid Profile
294,119,3,5.0,4.5,6.7,0,0.51,0,2018,DS,Low Profile
323,106,1,3.0,1.0,9.06,0,0.82,1,2022,DS,High Profile
322,117,4,4.0,2.5,7.44,1,0.69,1,2019,CS,Mid Profile
294,120,5,4.5,2.0,9.13,0,0.73,1,2018,ME,High Profile
328,116,3,4.0,2.0,6.83,0,0.52,0,2024,CE,High Profile
311,105,1,1.0,1.5,6.75,1,0.54,0,2021,ME,Mid Profile
330,101,1,1.5,5.0,7.99,0,0.66,1,2022,CS,Low Profile
292,120,3,2.5,2.5,6.13,1,0.6,0,2019,EE,Mid Profile
299,99,3,2.5,2.5,6.9,0,0.58,0,2018,EE,High Profile
315,103,3,4.0,2.5,8.9,1,0.81,1,2018,EE,Mid Profile
299,94,2,1.5,5.0,9.35,1,0.73,1,2020,DS,Mid Profile
306,115,3,2.5,2.5,6.32,1,0.48,0,2018,EE,Mid Profile
323,110,2,2.0,2.5,9.53,0,0.82,1,2020,CE,High Profile
297,94,4,1.5,2.0,9.19,1,0.72,1,2020,DS,Mid Profile
324,98,4,1.5,2.0,9.48,1,0.83,1,2021,CE,Mid Profile
295,108,4,1.5,1.0,8.79,1,0.79,1,2022,CE,Mid Profile
298,107,1,3.5,3.5,8.7,0,0.63,0,2020,CS,Low Profile
319,115,5,2.5,1.0,8.1,0,0.62,0,2021,CS,High Profile
330,99,1,2.5,2.0,8.61,0,0.69,1,2018,CE,High Profile
298,118,5,3.0,1.5,9.68,0,0.85,1,2020,CE,High Profile
305,104,1,4.0,2.0,6.4,1,0.59,0,2024,CE,Mid Profile
337,115,3,4.5,4.0,7.26,1,0.68,1,2024,ME,Mid Profile
340,98,1,3.0,3.5,6.29,1,0.53,0,2021,ME,Mid Profile
319,93,1,3.5,5.0,9.78,1,0.81,1,2024,CS,Mid Profile
312,93,4,4.0,2.5,7.78,1,0.61,0,2021,EE,Mid Profile
307,102,4,4.0,5.0,8.7,0,0.68,1,2018,ME,Low Profile
321,119,1,1.5,1.0,9.36,0,0.81,1,2024,CS,High Profile
320,93,5,5.0,3.0,9.96,1,0.9,1,2020,CS,Mid Profile
305,102,2,1.5,4.5,6.65,0,0.39,0,2022,CS,Low Profile
291,95,2,2.5,3.0,9.2,0,0.69,1,2022,EE,Low Profile
297,119,2,3.5,5.0,9.55,1,0.92,1,2020,DS,Mid Profile
338,111,3,2.5,2.0,6.2,1,0.55,0,2023,CE,Mid Profile
311,114,1,2.0,1.0,9.02,0,0.66,1,2021,DS,High Profile
314,112,3,5.0,4.0,7.42,0,0.73,1,2020,EE,Low Profile
313,111,2,1.0,1.0,8.59,0,0.7,1,2020,ME,High Profile
329,114,1,2.0,4.0,8.06,1,0.73,1,2023,DS,Mid Profile
293,92,2,5.0,4.0,7.04,1,0.6,0,2019,EE,Mid Profile
294,117,4,4.0,4.5,6.54,1,0.55,0,2018,CE,Mid Profile
304,113,4,1.0,3.0,6.47,1,0.52,0,2024,CE,Mid Profile
314,113,2,4.0,5.0,6.41,0,0.61,0,2020,DS,Low Profile
324,103,2,5.0,1.5,8.55,1,0.8,1,2022,DS,Mid Profile
315,115,4,1.0,2.5,7.41,0,0.65,1,2023,CE,High Profile
312,103,4,2.5,1.5,6.87,0,0.57,0,2023,ME,High Profile
337,93,5,3.0,4.0,8.77,1,0.73,1,2022,DS,Mid Profile
298,118,5,1.5,4.0,8.75,1,0.86,1,2022,CE,Mid Profile
319,98,5,1.5,4.5,8.16,0,0.62,0,2023,EE,Low Profile
317,94,5,1.5,4.0,9.74,0,0.83,1,2024,CE,Low Profile
314,110,3,1.5,2.0,7.54,0,0.52,0,2018,ME,High Profile
331,98,2,2.5,1.0,9.34,1,0.71,1,2023,EE,Mid Profile
303,116,2,3.0,5.0,6.3,1,0.56,0,2019,ME,Mid Profile
338,104,2,2.0,3.0,8.96,0,0.7,1,2024,CE,High Profile
306,92,4,2.0,1.0,9.95,0,0.71,1,2018,DS,High Profile
317,119,4,1.5,5.0,9.39,0,0.83,1,2019,ME,Low Profile
316,106,5,4.5,5.0,8.32,0,0.8,1,2019,CS,Low Profile
333,99,1,1.5,3.0,8.51,0,0.76,1,2022,DS,Low Profile
312,111,3,5.0,4.0,7.41,0,0.58,0,2018,ME,Low Profile
304,107,2,3.0,1.0,8.72,0,0.71,1,2018,EE,High Profile
291,92,5,4.5,1.0,9.08,1,0.84,1,2021,CE,Mid Profile
308,114,2,3.5,2.0,9.99,1,0.95,1,2024,EE,Mid Profile
332,103,1,2.0,3.5,7.97,0,0.62,0,2021,EE,Low Profile
290,112,3,3.5,1.5,6.25,1,0.53,0,2021,DS,Mid Profile
335,117,5,2.0,1.0,8.38,0,0.73,1,2022,DS,High Profile
317,109,5,1.5,4.0,6.48,1,0.6,0,2021,ME,Mid Profile
297,111,1,2.0,4.0,6.98,0,0.53,0,2020,EE,Low Profile
305,99,2,2.0,4.0,7.32,1,0.61,0,2022,DS,Mid Profile
318,98,1,1.5,4.5,8.92,0,0.79,1,2018,CS,Low Profile
306,104,2,1.0,4.5,6.74,1,0.64,0,2019,CE,Mid Profile
295,116,3,5.0,3.5,6.66,0,0.55,0,2022,ME,Low Profile
323,107,2,3.0,3.0,6.18,1,0.62,0,2020,DS,Mid Profile
324,102,1,2.5,4.5,9.49,0,0.76,1,2018,ME,Low Profile
296,114,3,5.0,2.5,8.77,1,0.86,1,2018,DS,Mid Profile
304,116,1,2.0,1.0,6.16,0,0.5,0,2024,CS,High Profile
302,118,2,2.5,4.0,6.11,1,0.7,1,2020,CE,Mid Profile
323,100,1,4.5,2.0,8.23,0,0.59,0,2018,CS,High Profile
327,112,1,3.5,5.0,7.13,1,0.58,0,2023,CE,Mid Profile
327,109,3,2.5,2.5,8.39,1,0.77,1,2021,CS,Mid Profile
337,105,5,2.0,4.5,7.74,1,0.72,1,2021,DS,Mid Profile
329,103,4,1.0,1.0,9.69,0,0.92,1,2024,CE,High Profile
306,95,1,1.0,3.5,7.15,0,0.5,0,2020,CS,Low Profile
295,99,1,1.5,3.0,8.72,0,0.74,1,2022,DS,Low Profile
321,107,2,4.5,3.0,6.22,1,0.59,0,2023,EE,Mid Profile
336,117,4,3.5,2.0,9.82,1,0.94,1,2022,ME,Mid Profile
339,117,4,2.5,5.0,9.92,0,0.81,1,2019,CS,Low Profile
301,97,5,4.5,2.5,8.96,1,0.86,1,2022,CS,Mid Profile
302,111,2,1.5,4.5,7.86,0,0.7,1,2023,EE,Low Profile
291,94,1,1.5,2.5,6.88,1,0.59,0,2018,ME,Mid Profile
297,111,1,2.5,1.0,9.25,0,0.76,1,2019,ME,High Profile
318,101,1,5.0,4.5,8.95,0,0.73,1,2022,DS,Low Profile
317,105,1,3.5,1.5,6.89,0,0.53,0,2018,CS,High Profile
308,112,5,4.5,2.0,7.8,0,0.68,1,2024,CE,High Profile
305,104,2,2.0,4.5,7.85,0,0.62,0,2018,CS,Low Profile
332,115,5,4.5,5.0,9.31,0,0.75,1,2024,EE,Low Profile
313,107,3,1.0,5.0,8.74,0,0.66,1,2022,CS,Low Profile
331,120,3,2.0,2.5,8.57,0,0.68,1,2021,CS,High Profile
339,110,3,3.0,4.0,8.6,1,0.79,1,2019,ME,Mid Profile
306,100,5,1.0,2.0,7.08,0,0.56,0,2020,DS,High Profile
300,114,1,4.5,4.0,7.49,0,0.6,0,2023,CE,Low Profile
338,103,1,4.5,3.0,6.18,1,0.55,0,2023,DS,Mid Profile
322,107,3,3.0,1.0,9.15,1,0.78,1,2019,ME,Mid Profile
304,95,2,2.0,2.5,7.73,0,0.68,1,2021,CS,High Profile
321,95,3,1.0,3.0,7.75,1,0.65,1,2024,EE,Mid Profile
316,108,4,3.5,2.0,6.98,1,0.59,0,2019,DS,Mid Profile
336,97,3,3.0,2.5,6.84,1,0.62,0,2022,CS,Mid Profile
303,120,2,4.0,3.0,8.35,0,0.59,0,2019,CS,Low Profile
340,116,2,3.5,1.0,6.93,0,0.52,0,2023,DS,High Profile
337,112,4,1.5,1.5,6.26,0,0.56,0,2019,CS,High Profile
299,113,2,1.5,4.0,9.07,1,0.7,1,2020,DS,Mid Profile
298,109,3,4.5,2.5,7.51,1,0.71,1,2021,CE,Mid Profile
317,93,3,1.5,3.5,7.52,1,0.72,1,2020,CE,Mid Profile
292,103,4,5.0,3.5,7.73,1,0.65,1,2019,ME,Mid Profile
305,106,4,1.0,3.0,9.26,0,0.78,1,2022,CS,High Profile
312,118,3,4.0,2.5,7.28,0,0.65,1,2018,ME,High Profile
339,98,2,5.0,3.0,9.03,1,0.77,1,2024,DS,Mid Profile
340,106,2,2.5,4.5,9.76,1,0.92,1,2018,DS,Mid Profile
297,101,3,1.0,5.0,8.64,0,0.66,1,2020,ME,Low Profile
335,95,2,4.5,2.0,7.73,0,0.59,0,2024,DS,High Profile
294,94,4,1.5,4.0,8.99,1,0.73,1,2019,CE,Mid Profile
328,102,2,3.0,5.0,7.83,0,0.64,0,2018,CS,Low Profile
333,94,4,5.0,1.0,7.66,0,0.68,1,2023,CE,High Profile
335,93,4,4.0,4.5,8.1,1,0.7,1,2018,CE,Mid Profile
